bodyId,class,type,instance,somaSide
10013,MBON,MBON01,MBON01(y5B'2a)_R,R
10079,MBON,MBON06,MBON06(B1>a)_R,R
10267,MBON,MBON14,MBON14(a3)_R,R
10399,DAN,PPL202,PPL202_R,R
10495,MBON,MBON05,MBON05(y4>y1y2)_R,R
10599,MBON,MBON35,MBON35(y2)_L,L
10704,MBON,MBON11,MBON11(y1pedc>a/B)_L,L
10753,DAN,PPL201,PPL201_L,L
10804,MBON,MBON20,MBON20(y1y2)_R,R
10816,MBON,MBON31,MBON31(a'1a)_L,L
10826,MBON,MBON21,MBON21(y4y5)_L,L
11145,MBON,MBON20,MBON20(y1y2)_L,L
11176,MBON,MBON26,MBON26(b'2d)_R,R
11327,DAN,PPL101,PPL101(y1ped)_R,R
11402,MBON,MBON11,MBON11(y1pedc>a/B)_R,R
11455,MBON,MBON32,MBON32(y2)_L,L
11560,DAN,PPL201,PPL201_R,R
11618,DAN,PPL102,PPL102(y1)_L,L
11752,DAN,PPL103,PPL103(y2a'1)_L,L
11777,MBON,MBON15,MBON15(a'1)_R,R
11785,MBON,MBON33,MBON33(y2y3)_L,L
11805,MBON,MBON31,MBON31(a'1a)_R,R
11862,Kenyon_Cell,KCab-s,KCab-s_L,L
11873,MBON,MBON14,MBON14(a3)_L,L
11900,DAN,PPL101,PPL101(y1ped)_L,L
11990,MBON,MBON22,MBON22(calyx)_R,R
12690,MBON,MBON06,MBON06(B1>a)_L,L
12726,MBON,MBON13,MBON13(a'2)_L,L
12859,MBON,MBON07,MBON07(a1)_R,R
12902,DAN,PPL108,PPL108_R,R
12918,MBON,MBON22,MBON22(calyx)_L,L
13173,Kenyon_Cell,KCab-c,KCab-c_R,R
13259,DAN,PPL202,PPL202_L,L
13312,DAN,PPL203,PPL203_L,L
13428,DAN,PPL102,PPL102(y1)_R,R
13728,MBON,MBON12,MBON12(y2a'1)_L,L
13768,MBON,MBON12,MBON12(y2a'1)_L,L
14182,DAN,PPL103,PPL103(y2a'1)_R,R
14221,MBON,MBON18,MBON18(a2sc)_R,R
14225,DAN,PPL105,PPL105(a'2a2)_R,R
14292,Kenyon_Cell,KCg-m,KCg-m_R,R
14705,DAN,PPL107,PPL107_R,R
15103,Kenyon_Cell,KCg-m,KCg-m_R,R
15310,DAN,PPL108,PPL108_L,L
15626,MBON,MBON07,MBON07(a1)_L,L
15693,DAN,PPL203,PPL203_R,R
15708,MBON,MBON24,MBON24(B2y5)_R,R
17488,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
17946,MBON,MBON14,MBON14(a3)_R,R
18031,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
18406,MBON,MBON24,MBON24(B2y5)_L,L
18540,Kenyon_Cell,KCg-s1,KCg-s1_R,R
18603,MBON,MBON07,MBON07(a1)_L,L
18713,MBON,MBON09,MBON09(y3B'1)_L,L
19083,Kenyon_Cell,KCg-m,KCg-m_L,L
19102,Kenyon_Cell,KCg-d,KCg-d_R,R
19267,MBON,MBON09,MBON09(y3B'1)_L,L
19366,MBON,MBON14,MBON14(a3)_L,L
19788,Kenyon_Cell,KCg-d,KCg-d_L,L
20322,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
20773,Kenyon_Cell,KCg-m,KCg-m_R,R
20835,MBON,MBON23,MBON23(a2sp)_R,R
21145,DAN,PPL104,PPL104(a'3)_R,R
21242,MBON,MBON09,MBON09(y3B'1)_R,R
21778,Kenyon_Cell,KCg-s1,KCg-s1_L,L
21879,Kenyon_Cell,KCg-m,KCg-m_R,R
22031,Kenyon_Cell,KCg-m,KCg-m_R,R
22533,Kenyon_Cell,KCg-m,KCg-m_R,R
22995,Kenyon_Cell,KCa'b'-ap2,KCa'b'-ap2_R,R
23037,Kenyon_Cell,KCab-s,KCab-s_R,R
23166,Kenyon_Cell,KCg-m,KCg-m_R,R
24146,Kenyon_Cell,KCg-s2,KCg-s2_L,L
24204,Kenyon_Cell,KCg-m,KCg-m_R,R
24695,Kenyon_Cell,KCab-m,KCab-m_R,R
24959,Kenyon_Cell,KCg-m,KCg-m_R,R
25017,Kenyon_Cell,KCg-m,KCg-m_R,R
25030,Kenyon_Cell,KCg-s2,KCg-s2_R,R
25631,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_R,R
25879,Kenyon_Cell,KCab-m,KCab-m_R,R
26485,MBON,MBON28,MBON28(a'3a)_R,R
26792,Kenyon_Cell,KCg-m,KCg-m_R,R
26853,MBON,MBON19,MBON19(a2p3p)_R,R
27583,Kenyon_Cell,KCg-m,KCg-m_R,R
28196,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
28434,DAN,PAM10,PAM10(B1)_R,R
28516,Kenyon_Cell,KCa'b'-ap1,KCa'b'-ap1_L,L
28622,MBON,MBON28,MBON28(a'3a)_L,L
